	comment	HMT	level	type	source	max Segata oral sites	max Dewhirst oral site	max Eren oral site	max any oral site	Abundance category	Eren et al. 2014 abundance data																				
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 317		317	Species				0.331	0.328	0.331415978	2	0.021	28.571	0.008	12.987	0.006	15.584	0.001	5.195	0.035	16.883	0.024	18.182	0.033	36.364	0.328	49.351	0.31	63.636	0	0	includes P. sp. HMT 317 and P. sp. HMT 472
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 376		376	Species				0.005		0.005340882	4																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 396		396	Species				0.089		0.088656851	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 443		443	Species				0.012		0.011691446	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 472		472	Species				0.318	0.328	0.327777757	2	0.021	28.571	0.008	12.987	0.006	15.584	0.001	5.195	0.035	16.883	0.024	18.182	0.033	36.364	0.328	49.351	0.31	63.636	0	0	includes P. sp. HMT 317 and P. sp. HMT 472
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 475		475	Species				0.016		0.015715807	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 515		515	Species				0.003		0.003241578	4																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 526		526	Species				0.07		0.070190795	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 820		820	Species				0.002		0.002413745	4																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 942		942	Species				0.036	0.116	0.116241882	2	0.041	5.195	0.116	11.688	0.001	6.494	0	1.299	0.009	14.286	0.009	7.792	0.007	7.792	0	1.299	0	0	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;veroralis		572	Species				0.81	2.659	2.658731855	1	0.452	70.13	0.054	33.766	1.29	85.714	1.943	83.117	2.173	92.208	2.659	93.506	1.683	81.818	0.135	33.766	0.111	45.455	0.001	3.896	includes P. histicola, P. veroralis, P. sp. HMT 313
Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavitalea;sp. HMT 320		320	Species						0	4																					
Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Segetibacter;aerophilus		261	Species	eHOMD expansion for skin and nasal taxa					0	4																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;sp. HMT 206		206	Species	eHOMD expansion for skin and nasal taxa				0.289	0.28868558	2	0.289	28.571	0.143	18.182	0.06	23.377	0.008	11.688	0.071	18.182	0.155	18.182	0.176	20.779	0.003	6.494	0.004	9.091	0	0	
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;sp. HMT 319		319	Species						0	4																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;sp. HMT 322		322	Species				0.152	1.612	1.612368637	1	0.344	96.104	0.748	89.61	0.206	88.312	0.265	79.221	0.329	79.221	0.251	79.221	0.322	80.519	1.612	98.701	1.146	100	0	1.299	
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;sp. HMT 422		422	Species						0	4																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;sp. HMT 900		900	Species				0.132	0.092	0.131577427	2	0.011	23.377	0.005	9.091	0.002	7.792	0	0	0.006	7.792	0.002	3.896	0.057	28.571	0.092	45.455	0.063	36.364	0	0	
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;sp. HMT 907		907	Species						0	4																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;sp. HMT 931		931	Species				0.009	0.103	0.103305201	2	0.073	31.169	0.103	28.571	0.002	10.39	0	1.299	0.096	31.169	0.049	20.779	0.015	16.883	0.001	3.896	0.002	5.195	0	0	
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;gingivalis		337	Species				1.256	0.052	1.255807293	1	0.037	84.416	0.052	37.662	0.001	64.935	0	67.532	0.048	76.623	0.024	70.13	0.008	81.818	0	96.104	0.001	96.104	0	2.597	abundance value = (C. gingivalis + C. granulosa)/2; prevalence value is for (C. gingivalis + C. granulosa)
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;granulosa		325	Species				2.112	0.026	2.111947102	1	0.018	84.416	0.026	37.662	0.001	64.935	0	67.532	0.024	76.623	0.012	70.13	0.004	81.818	0	96.104	0.001	96.104	0	2.597	abundance value = (C. gingivalis + C. granulosa)/2; prevalence value is for (C. gingivalis + C. granulosa)
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;haemolytica		627	Species				0.04		0.03980285	3																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;leadbetteri		329	Species				0.962	2.44	2.440190569	1	0.468	79.221	0.283	49.351	0.079	70.13	0.086	62.338	0.514	72.727	0.338	63.636	0.454	76.623	2.44	88.312	2.149	92.208	0	1.299	
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;ochracea		700	Species				0.004		0.004438386	4																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 323		323	Species				0.126		0.125677248	2																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 324		324	Species				0.081		0.080604607	3																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 326		326	Species				0.723	0.67	0.723262381	2	0.041	28.571	0.009	10.39	0.009	19.481	0.003	7.792	0.005	9.091	0.003	9.091	0.036	32.468	0.464	51.948	0.67	57.143	0	0	
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 332		332	Species				0.239	0.177	0.238686088	2	0.007	9.091	0	1.299	0.003	7.792	0	1.299	0.002	7.792	0.001	3.896	0.029	12.987	0.177	16.883	0.139	19.481	0	0	
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 334		334	Species						0	4																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 335		335	Species				0.304	0.102	0.304340669	2	0.006	7.792	0.001	2.597	0.002	5.195	0	1.299	0.001	2.597	0.002	3.896	0.014	12.987	0.102	18.182	0.085	20.779	0	0	
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 336		336	Species				0.335	0.539	0.538790685	2	0.035	33.766	0.021	5.195	0.003	9.091	0.006	12.987	0.003	10.39	0.002	6.494	0.079	48.052	0.5	66.234	0.539	70.13	0	0	
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 338		338	Species				0.096		0.095831361	3																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 380		380	Species				0.16		0.160089799	2																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 412		412	Species				0.165	0.102	0.164674006	2	0.003	5.195	0.024	2.597	0	3.896	0	0	0	1.299	0	1.299	0.006	9.091	0.102	18.182	0.07	15.584	0	0	
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sputigena		775	Species				0.961	2.408	2.408350983	1	0.331	68.831	0.101	37.662	0.115	55.844	0.261	51.948	0.528	64.935	0.414	59.74	0.394	81.818	2.408	93.506	2.209	96.104	0.001	2.597	
Bacteria;Firmicutes;Bacilli;Bacillales;Gemellaceae;Gemella;haemolysans		626	Species				3.131	7.801	7.801246042	1	7.801	100	5.766	100	3.735	98.701	0.163	79.221	1.788	93.506	1.708	96.104	0.465	85.714	0.389	79.221	0.558	74.026	0.003	7.792	
Bacteria;Firmicutes;Bacilli;Bacillales;Gemellaceae;Gemella;morbillorum		46	Species				0.516	0.272	0.515718392	2	0.087	62.338	0.039	36.364	0.078	53.247	0.007	20.779	0.137	54.545	0.089	45.455	0.06	46.753	0.217	83.117	0.272	81.818	0	0	
Bacteria;Firmicutes;Bacilli;Bacillales;Gemellaceae;Gemella;sanguinis		757	Species				1.429	1.062	1.428726271	1	0.229	81.818	0.054	41.558	0.71	97.403	1.062	96.104	0.817	96.104	0.681	93.506	0.505	88.312	0.011	25.974	0.006	16.883	0	1.299	
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;defectiva		389	Species				0.244	0.489	0.489017644	2	0.274	61.039	0.163	32.468	0.13	53.247	0.013	20.779	0.026	31.169	0.038	24.675	0.174	42.857	0.484	75.325	0.489	63.636	0	1.299	
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;viridans		312	Species	eHOMD expansion for skin and nasal taxa					0	4																					
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Alloiococcus;otitis		831	Species						0	4																					
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum;pigrum		813	Species						0	4																					
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;adiacens		534	Species				2.435	2.784	2.784328995	1	0.614	98.701	0.215	80.519	1.684	100	2.784	100	1.317	100	1.516	97.403	1.293	93.506	0.545	98.701	0.551	92.208	0.003	6.494	
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;elegans		596	Species				1.793	3.156	3.155782971	1	1.104	76.623	3.156	77.922	1.005	72.727	0.024	31.169	0.261	53.247	0.256	45.455	0.246	54.545	0.079	37.662	0.095	41.558	0	0	
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;gordonii		622	Species				1.899	0.881	1.89850379	1	0.614	87.013	0.277	54.545	0.103	63.636	0.01	20.779	0.038	38.961	0.048	44.156	0.081	46.753	0.881	83.117	0.724	83.117	0	0	
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis clade 431		431	Species				1.773		1.773476036	1																					
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis clade 638		638	Species				3.805		3.804923013	1																					
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;intermedius		644	Species				0.985	0.405	0.9850096	2	0.022	44.156	0.057	15.584	0.011	23.377	0.004	14.286	0.051	23.377	0.119	25.974	0.033	40.26	0.099	61.039	0.405	83.117	0	1.299	
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;lactarius		948	Species				0.047		0.047204451	3																					
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;mitis		677	Species				19.175		19.17490891	1																					
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;mutans		686	Species				1.212	0.166	1.212222118	1	0.016	22.078	0.008	3.896	0.005	7.792	0	1.299	0.005	9.091	0.002	3.896	0.014	18.182	0.166	16.883	0.136	14.286	0	0	
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Butyrivibrio;sp. HMT 455		455	Species				0.034	0.068	0.067905292	3	0.005	14.286	0	1.299	0.016	27.273	0.037	36.364	0.035	42.857	0.064	55.844	0.068	33.766	0	0	0	1.299	0	0	
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Catonella;morbi		165	Species				0.178	0.424	0.424302141	2	0.045	59.74	0.02	32.468	0.168	84.416	0.352	90.909	0.381	93.506	0.348	90.909	0.424	84.416	0.101	58.442	0.226	74.026	0.002	2.597	
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Catonella;sp. HMT 164		164	Species						0	4																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Catonella;sp. HMT 451		451	Species				0.009		0.008785387	4																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Johnsonella;ignava		635	Species				0.151		0.151454974	2																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Johnsonella;sp. HMT 166		166	Species				0.006		0.005900869	4																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Lachnoanaerobaculum;orale		82	Species				0.144	1.137	1.137321004	1	0.175	84.416	0.043	46.753	0.334	92.208	0.792	98.701	0.813	97.403	1.137	93.506	0.284	84.416	0.303	68.831	0.295	77.922	0.003	9.091	includes L. orale, L. saburreum, and L. umeanse
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Lachnoanaerobaculum;saburreum		494	Species				0.075	1.137	1.137321004	1	0.175	84.416	0.043	46.753	0.334	92.208	0.792	98.701	0.813	97.403	1.137	93.506	0.284	84.416	0.303	68.831	0.295	77.922	0.003	9.091	includes L. orale, L. saburreum, and L. umeanse
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Lachnoanaerobaculum;sp. HMT 083		83	Species						0	4																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Lachnoanaerobaculum;sp. HMT 089		89	Species						0	4																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Lachnoanaerobaculum;sp. HMT 496		496	Species						0	4																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Lachnoanaerobaculum;umeanse		107	Species				0.126	1.137	1.137321004	1	0.175	84.416	0.043	46.753	0.334	92.208	0.792	98.701	0.813	97.403	1.137	93.506	0.284	84.416	0.303	68.831	0.295	77.922	0.003	9.091	includes L. orale, L. saburreum, and L. umeanse
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Lachnospiraceae [G-10];bacterium HMT 094		94	Species						0	4																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Lachnospiraceae [G-2];bacterium HMT 088		88	Species				0.005		0.004689798	4																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Lachnospiraceae [G-2];bacterium HMT 096		96	Species				0.494	0.78	0.779693197	2	0.024	36.364	0.002	6.494	0.133	48.052	0.503	50.649	0.592	57.143	0.78	59.74	0.045	28.571	0.006	3.896	0.001	5.195	0	0	
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Lachnospiraceae [G-3];bacterium HMT 100		100	Species				0.203	0.129	0.202911897	2	0.022	38.961	0.004	7.792	0.032	36.364	0.038	22.078	0.069	40.26	0.059	23.377	0.053	29.87	0.129	50.649	0.115	61.039	0	0	
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Lachnospiraceae [G-7];bacterium HMT 086		86	Species				0.005		0.004859137	4																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Lachnospiraceae [G-7];bacterium HMT 163		163	Species				0.003		0.00289832	4																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Lachnospiraceae [G-8];bacterium HMT 500		500	Species				0.029		0.028919887	3																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Lachnospiraceae [G-9];bacterium HMT 924		924	Species						0	4																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Oribacterium;asaccharolyticum	asaccharlyticum-parvum adds some data in Dewhirst	108	Species				0.025	2.249	2.248999236	1	0.149	71.429	0.017	35.065	0.571	100	1.216	97.403	0.973	100	1.222	96.104	2.249	94.805	0.054	46.753	0.06	50.649	0.002	5.195	includes O. asaccharolyticum, O. parvum, O. sinus
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Oribacterium;parvum	asaccharlyticum-parvum adds some data in Dewhirst	934	Species				0.037	2.249	2.248999236	1	0.149	71.429	0.017	35.065	0.571	100	1.216	97.403	0.973	100	1.222	96.104	2.249	94.805	0.054	46.753	0.06	50.649	0.002	5.195	includes O. asaccharolyticum, O. parvum, O. sinus
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Oribacterium;sinus		457	Species				0.458	2.249	2.248999236	1	0.149	71.429	0.017	35.065	0.571	100	1.216	97.403	0.973	100	1.222	96.104	2.249	94.805	0.054	46.753	0.06	50.649	0.002	5.195	includes O. asaccharolyticum, O. parvum, O. sinus
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Oribacterium;sp. HMT 078		78	Species				0.215		0.215120827	2																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Oribacterium;sp. HMT 102		102	Species						0	4																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Shuttleworthia;satelles		95	Species				0.04		0.04015042	3																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Stomatobaculum;longum		419	Species				0.127	0.319	0.31884991	2	0.035	38.961	0.003	5.195	0.079	48.052	0.184	53.247	0.214	54.545	0.319	63.636	0.071	41.558	0.013	19.481	0.017	25.974	0.001	5.195	
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Stomatobaculum;sp. HMT 097		97	Species				0.874	0.382	0.873651311	2	0.067	61.039	0.005	12.987	0.192	79.221	0.382	80.519	0.35	84.416	0.31	76.623	0.16	70.13	0.005	11.688	0.003	6.494	0.001	3.896	
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Stomatobaculum;sp. HMT 373		373	Species						0	4																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Stomatobaculum;sp. HMT 910		910	Species				0.019		0.01878564	3																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Peptococcus;sp. HMT 167		167	Species				0.082		0.082200859	3																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Peptococcus;sp. HMT 168		168	Species				0.011	0.057	0.056510348	3	0.007	16.883	0.003	6.494	0.031	37.662	0.042	38.961	0.04	36.364	0.057	44.156	0.035	28.571	0.002	7.792	0.006	9.091	0	0	
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptoniphilaceae;Parvimonas;micra		111	Species				1.165	0.137	1.164576536	1	0.011	23.377	0.001	7.792	0.065	50.649	0.07	40.26	0.137	51.948	0.064	44.156	0.042	38.961	0.016	28.571	0.103	54.545	0	0	includes P. micra and P. sp. HMT 110
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptoniphilaceae;Parvimonas;sp. HMT 110		110	Species				0.657	0.137	0.65667953	2	0.011	23.377	0.001	7.792	0.065	50.649	0.07	40.26	0.137	51.948	0.064	44.156	0.042	38.961	0.016	28.571	0.103	54.545	0	0	includes P. micra and P. sp. HMT 110
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptoniphilaceae;Parvimonas;sp. HMT 393		393	Species				0.195	0.049	0.195364978	2	0.003	10.39	0.003	5.195	0.034	29.87	0.049	25.974	0.021	19.481	0.036	19.481	0.023	18.182	0	0	0.001	1.299	0	0	
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae [XI];Mogibacterium;diversum		593	Species				0.401	0.277	0.40139476	2	0.034	48.052	0.005	10.39	0.205	84.416	0.272	84.416	0.246	81.818	0.277	84.416	0.177	74.026	0.013	19.481	0.041	32.468	0	0	includes M. diversum, M. neglectum, M. vescum
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae [XI];Mogibacterium;neglectum		691	Species				0.094	0.277	0.277209789	2	0.034	48.052	0.005	10.39	0.205	84.416	0.272	84.416	0.246	81.818	0.277	84.416	0.177	74.026	0.013	19.481	0.041	32.468	0	0	includes M. diversum, M. neglectum, M. vescum
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae [XI];Mogibacterium;pumilum		742	Species						0	4																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae [XI];Mogibacterium;timidum		42	Species				0.134		0.134391225	2																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae [XI];Mogibacterium;vescum	not detected by itself but part of other Mogibacteria	8	Species					0.277	0.277209789	2	0.034	48.052	0.005	10.39	0.205	84.416	0.272	84.416	0.246	81.818	0.277	84.416	0.177	74.026	0.013	19.481	0.041	32.468	0	0	includes M. diversum, M. neglectum, M. vescum
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae [XI];Peptostreptococcaceae [XI][G-1];[Eubacterium] infirmum		105	Species				0.138		0.138372574	2																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae [XI];Peptostreptococcaceae [XI][G-1];[Eubacterium] sulci		467	Species				0.375	0.189	0.375051956	2	0.016	28.571	0.003	9.091	0.189	72.727	0.138	70.13	0.116	63.636	0.149	72.727	0.115	53.247	0	2.597	0.001	3.896	0	1.299	
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae [XI];Peptostreptococcaceae [XI][G-9];[Eubacterium] brachy		557	Species				0.494	0.125	0.493693059	2	0.012	22.078	0.005	3.896	0.006	19.481	0	2.597	0.125	35.065	0.058	23.377	0.004	11.688	0.02	31.169	0.11	49.351	0	0	
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae [XI];Peptostreptococcus;anaerobius		542	Species						0	4																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae [XI];Peptostreptococcus;stomatis		112	Species				0.957	0.3	0.957024358	2	0.037	40.26	0.005	11.688	0.214	76.623	0.147	74.026	0.209	76.623	0.224	76.623	0.3	63.636	0.011	16.883	0.037	27.273	0	0	
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Fastidiosipila;sanguinis		935	Species						0	4																					
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae [G-1];bacterium HMT 075		75	Species				0.134	2.217	2.216508877	1	0.018	28.571	0.003	9.091	0.05	46.753	0.116	41.558	0.22	54.545	0.288	51.948	2.217	81.818	0.099	36.364	0.083	36.364	0	0	
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae [G-2];bacterium HMT 085		85	Species				0.058	0.163	0.162938067	2	0.004	12.987	0.002	2.597	0.012	33.766	0.041	38.961	0.054	45.455	0.041	32.468	0.163	57.143	0.002	7.792	0.002	6.494	0	0	
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelothrix;tonsillarum		484	Species					0.114	0.114009766	2	0.002	3.896	0.001	2.597	0.01	11.688	0.021	16.883	0.02	16.883	0.038	18.182	0.114	24.675	0	1.299	0.001	1.299	0	0	
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae [G-1];bacterium HMT 904		904	Species				0.004		0.003824701	4																					
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae [G-1];bacterium HMT 905		905	Species				0.03		0.030370541	3																					
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium;moorei		678	Species				0.633	0.36	0.633397228	2	0.025	45.455	0.003	7.792	0.204	80.519	0.29	88.312	0.357	85.714	0.36	89.61	0.271	76.623	0.013	24.675	0.033	33.766	0.017	2.597	
