Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700016101-PFO	S700016506-PFO	S700016606-PFO	S700021932-PFO	S700023102-PFO	S700023204-PFO	S700023283-PFO	S700023436-PFO	S700023493-PFO	S700023670-PFO	S700023804-PFO	S700023861-PFO	S700023918-PFO	S700024003-PFO	S700024080-PFO	S700024163-PFO	S700024270-PFO	S700024395-PFO	S700024768-PFO	S700024845-PFO	S700024882-PFO	S700033044-PFO	S700033195-PFO	S700033501-PFO	S700033791-PFO	S700037014-PFO	S700037236-PFO	S700037716-PFO	S700038738-PFO	S700038797-PFO	S700097355-PFO	S700098331-PFO	S700098423-PFO	S700098996-PFO	S700099123-PFO	S700099352-PFO	S700100291-PFO	S700102649-PFO	S700103305-PFO	S700103708-PFO	S700105065-PFO	S700105179-PFO	S700105236-PFO	S700105453-PFO	S700105494-PFO	S700105646-PFO	S700105721-PFO	S700105796-PFO	S700105998-PFO	S700106054-PFO	S700106091-PFO	S700106520-PFO	S700106835-PFO	S700106912-PFO	S700113160-PFO	S700113539-PFO	S700113578-PFO	S700113856-PFO	S700113970-PFO	S700114104-PFO	S700114161-PFO	S700114234-PFO	S700114303-PFO	S700114458-PFO	S700114505-PFO	S700114594-PFO	S700114651-PFO	S700114834-PFO	S700114937-PFO	S700116217-PFO	S700116342-PFO	S700116657-PFO	S700116998-PFO	S700117698-PFO	S700117753-PFO	S700117954-PFO
Bacteria	domain				93.804	99.168	39.574	99.729	99.684	99.87	99.797	100.0	97.726	99.659	97.748	98.267	96.818	98.655	99.619	99.883	99.271	99.15	95.126	91.019	99.031	99.977	99.911	98.78	94.959	99.965	99.828	95.521	99.587	99.305	51.9	93.731	94.802	98.537	99.616	100.0	92.176	98.909	87.99	95.113	99.914	99.808	99.057	98.736	99.549	99.744	80.206	97.767	99.901	99.572	99.746	99.844	85.206	93.857	99.594	98.775	99.69	96.874	98.569	99.987	92.951	99.03	99.633	99.659	88.721	96.751	99.92	94.753	100.0	98.02	72.624	99.97	99.976	98.517	99.858	98.289
Bacteria;Actinomycetota	phylum				0.005	0.0	16.334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.012	0.0	45.078	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	13.514	2.105	0.0	0.0	0.0	0.0	0.764	0.0	0.874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	3.873	0.0	0.022	0.0	0.0	0.0	0.19	0.0	0.0	3.396	0.0	0.0	1.715	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota	phylum				0.205	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.055	0.014	0.215	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.121	0.0	0.025	0.0	0.008	0.0	0.0	0.03	0.0	0.0	0.363	0.256	0.0	0.0	0.051	0.0	18.33	0.0	24.231	0.255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.06	0.0	0.0	0.0	0.019	0.013	0.011	0.0	0.0	0.0	0.0	0.049	0.0	0.503	0.0	0.0	0.0	0.015	0.012	0.0	0.01	0.0
Bacteria;Bacillota	phylum				91.108	99.168	19.939	99.718	99.652	99.851	99.724	100.0	97.726	99.521	97.168	97.766	96.446	98.389	99.263	99.818	98.965	99.031	93.821	45.941	98.862	99.977	99.809	98.78	94.567	99.965	99.828	95.342	99.579	99.305	14.091	91.104	94.802	98.537	99.565	100.0	73.082	98.909	62.884	93.343	99.914	99.704	99.02	98.708	99.549	99.744	80.206	97.693	99.901	99.444	99.726	99.773	85.093	93.857	99.534	98.775	99.69	96.853	94.6	99.974	92.303	99.03	99.611	99.659	88.349	96.702	99.92	90.303	100.0	98.02	70.397	99.955	99.964	98.517	99.847	98.289
Bacteria;Fusobacteriota	phylum				1.85	0.0	3.301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.933	0.123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.392	0.0	0.0	0.512	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota	phylum				0.313	0.0	0.0	0.012	0.011	0.019	0.074	0.0	0.0	0.083	0.566	0.275	0.372	0.252	0.356	0.065	0.243	0.106	1.305	0.0	0.048	0.0	0.076	0.0	0.376	0.0	0.0	0.149	0.008	0.0	0.0	0.142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.504	0.0	0.103	0.037	0.028	0.0	0.0	0.0	0.015	0.0	0.127	0.02	0.042	0.113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.253	0.0	0.022	0.0	0.182	0.0	0.0	0.159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Synergistota	phylum				0.323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes	class				0.005	0.0	0.232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.063	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	11.443	0.522	0.0	0.0	0.0	0.0	0.0	0.0	0.874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.835	0.0	0.022	0.0	0.0	0.0	0.19	0.0	0.0	0.025	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Coriobacteriia	class				0.0	0.0	16.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.071	1.584	0.0	0.0	0.0	0.0	0.764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.371	0.0	0.0	1.706	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia	class				0.205	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.055	0.014	0.215	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.121	0.0	0.025	0.0	0.008	0.0	0.0	0.03	0.0	0.0	0.363	0.256	0.0	0.0	0.051	0.0	18.33	0.0	24.231	0.255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.06	0.0	0.0	0.0	0.019	0.013	0.011	0.0	0.0	0.0	0.0	0.049	0.0	0.503	0.0	0.0	0.0	0.015	0.012	0.0	0.01	0.0
Bacteria;Bacillota;Bacilli	class				87.946	99.168	2.693	99.718	99.61	99.851	99.724	100.0	97.726	99.521	97.168	97.108	96.336	98.347	99.263	99.818	98.965	99.031	93.821	45.141	98.813	99.961	99.809	98.768	94.567	99.965	99.828	95.342	99.579	99.305	2.839	91.009	94.781	98.537	99.565	99.549	70.214	98.909	46.358	91.682	99.914	99.704	98.983	98.708	99.533	99.744	61.359	97.693	99.888	99.409	99.726	99.773	84.923	93.857	98.042	98.775	99.69	96.832	63.671	99.974	92.303	98.656	99.438	99.659	88.349	96.702	99.92	89.016	100.0	98.02	0.943	99.955	99.964	98.517	99.847	98.289
Bacteria;Bacillota;Clostridia	class				2.742	0.0	0.304	0.0	0.042	0.0	0.0	0.0	0.0	0.0	0.0	0.621	0.11	0.014	0.0	0.0	0.0	0.0	0.0	0.788	0.048	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.057	0.0	0.0	0.0	0.451	1.171	0.0	10.068	1.613	0.0	0.0	0.037	0.0	0.0	0.0	6.014	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.096	0.0	0.0	0.021	4.56	0.0	0.0	0.028	0.151	0.0	0.0	0.0	0.0	1.201	0.0	0.0	61.883	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Negativicutes	class				0.42	0.0	16.942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.028	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.23	0.038	0.021	0.0	0.0	0.0	1.697	0.0	6.458	0.049	0.0	0.0	0.0	0.0	0.016	0.0	12.832	0.0	0.012	0.035	0.0	0.0	0.0	0.0	1.397	0.0	0.0	0.0	26.369	0.0	0.0	0.346	0.022	0.0	0.0	0.0	0.0	0.086	0.0	0.0	7.571	0.0	0.0	0.0	0.0	0.0
Bacteria;Fusobacteriota;Fusobacteriia	class				1.85	0.0	3.301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.933	0.123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.392	0.0	0.0	0.512	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria	class				0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042	0.074	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria	class				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.076	0.0	0.376	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.02	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Epsilonproteobacteria	class				0.313	0.0	0.0	0.0	0.011	0.019	0.0	0.0	0.0	0.0	0.0	0.275	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria	class				0.0	0.0	0.0	0.0	0.0	0.0	0.074	0.0	0.0	0.083	0.497	0.0	0.372	0.21	0.282	0.065	0.243	0.071	1.291	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.103	0.0	0.028	0.0	0.0	0.0	0.0	0.0	0.116	0.0	0.042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.088	0.0	0.022	0.0	0.174	0.0	0.0	0.159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Synergistota;Synergistia	class				0.323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order				0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales	order				0.0	0.0	0.232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.063	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.192	0.522	0.0	0.0	0.0	0.0	0.0	0.0	0.874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.835	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order				0.0	0.0	16.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.071	1.584	0.0	0.0	0.0	0.0	0.764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.371	0.0	0.0	1.706	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order				0.205	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.055	0.014	0.215	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.121	0.0	0.025	0.0	0.008	0.0	0.0	0.03	0.0	0.0	0.363	0.256	0.0	0.0	0.051	0.0	18.33	0.0	24.231	0.255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.06	0.0	0.0	0.0	0.019	0.013	0.011	0.0	0.0	0.0	0.0	0.049	0.0	0.503	0.0	0.0	0.0	0.015	0.012	0.0	0.01	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales	order				87.946	99.168	2.693	99.718	99.61	99.851	99.724	100.0	97.726	99.521	97.168	97.108	96.336	98.347	99.263	99.818	98.965	99.031	93.821	45.141	98.813	99.961	99.809	98.768	94.567	99.965	99.828	95.342	99.579	99.305	2.839	91.009	94.781	98.537	99.565	99.549	70.214	98.909	46.358	91.682	99.914	99.704	98.983	98.708	99.533	99.744	61.359	97.693	99.888	99.409	99.726	99.773	84.923	93.857	98.042	98.775	99.69	96.832	63.671	99.974	92.303	98.656	99.438	99.659	88.349	96.702	99.92	89.016	100.0	98.02	0.943	99.955	99.964	98.517	99.847	98.289
Bacteria;Bacillota;Clostridia;Eubacteriales	order				2.742	0.0	0.304	0.0	0.042	0.0	0.0	0.0	0.0	0.0	0.0	0.621	0.11	0.014	0.0	0.0	0.0	0.0	0.0	0.788	0.048	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.057	0.0	0.0	0.0	0.451	1.171	0.0	10.068	1.613	0.0	0.0	0.037	0.0	0.0	0.0	6.014	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.096	0.0	0.0	0.021	4.56	0.0	0.0	0.028	0.151	0.0	0.0	0.0	0.0	1.201	0.0	0.0	61.883	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Negativicutes;Veillonellales	order				0.42	0.0	16.942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.028	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.23	0.038	0.021	0.0	0.0	0.0	1.697	0.0	6.458	0.049	0.0	0.0	0.0	0.0	0.016	0.0	12.832	0.0	0.012	0.035	0.0	0.0	0.0	0.0	1.397	0.0	0.0	0.0	26.369	0.0	0.0	0.346	0.022	0.0	0.0	0.0	0.0	0.086	0.0	0.0	7.571	0.0	0.0	0.0	0.0	0.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order				1.85	0.0	3.301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.933	0.123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.392	0.0	0.0	0.512	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order				0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042	0.074	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.076	0.0	0.376	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.02	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order				0.313	0.0	0.0	0.0	0.011	0.019	0.0	0.0	0.0	0.0	0.0	0.275	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	order				0.0	0.0	0.0	0.0	0.0	0.0	0.074	0.0	0.0	0.083	0.497	0.0	0.372	0.21	0.282	0.065	0.243	0.071	1.291	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.103	0.0	0.028	0.0	0.0	0.0	0.0	0.0	0.116	0.0	0.042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.088	0.0	0.022	0.0	0.174	0.0	0.0	0.159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Synergistota;Synergistia;Synergistales	order				0.323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family				0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae	family				0.0	0.0	0.232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.063	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.192	0.522	0.0	0.0	0.0	0.0	0.0	0.0	0.874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.835	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family				0.0	0.0	16.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.071	1.584	0.0	0.0	0.0	0.0	0.764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.371	0.0	0.0	1.706	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family				0.205	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.055	0.014	0.215	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.121	0.0	0.025	0.0	0.008	0.0	0.0	0.03	0.0	0.0	0.363	0.256	0.0	0.0	0.051	0.0	18.33	0.0	24.231	0.255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.06	0.0	0.0	0.0	0.019	0.013	0.011	0.0	0.0	0.0	0.0	0.049	0.0	0.503	0.0	0.0	0.0	0.015	0.012	0.0	0.01	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
