Taxonomy	Rank	HMT	Notes	Max	ANA-mean	ANA-10p	ANA-90p	ANA-sd	ANA-prev
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter	genus			0.019	0.019	0.0	0.023	0.106	16.475
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;massiliensis	species	852		0.014	0.014	0.0	0.036	0.077	13.793
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-169	species	169		0.076	0.076	0.0	0.205	0.22	44.061
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;odontolytica	species	701		0.085	0.085	0.0	0.212	0.286	38.314
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;sp. HMT-172	species	172		0.048	0.048	0.0	0.113	0.151	33.716
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;dentium	species	588		0.017	0.017	0.0	0.013	0.094	12.261
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;accolens	species	019		25.27	25.27	0.151	61.973	23.465	94.636
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;amycolatum	species	031		0.097	0.097	0.0	0.017	0.952	11.877
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;kroppenstedtii	species	049		0.209	0.209	0.0	0.109	1.216	16.475
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;pilbarense	species	054		0.112	0.112	0.0	0.236	0.429	42.529
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;propinquum	species	059		2.362	2.362	0.0	8.235	6.476	37.165
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;pseudodiphtheriticum	species	060		1.421	1.421	0.0	3.569	4.843	33.716
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;tuberculostearicum	species	077		11.387	11.387	0.154	31.242	14.354	97.318
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;tuscaniense	species	184		0.055	0.055	0.0	0.073	0.343	24.521
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella;clevelandensis	species	173		3.248	3.248	0.0	7.688	4.896	86.973
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;aeria	species	188		0.046	0.046	0.0	0.108	0.197	29.502
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;dentocariosa	species	587		0.04	0.04	0.0	0.102	0.178	27.203
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;mucilaginosa	species	681		0.095	0.095	0.0	0.154	0.341	43.295
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes	species	530		29.212	29.212	5.974	57.039	19.993	100.0
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;avidum	species	552		0.279	0.279	0.0	0.775	0.527	62.069
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;pasteri	species	279		0.108	0.108	0.0	0.205	0.432	42.529
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;tannerae	species	466		0.031	0.031	0.0	0.032	0.187	14.943
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;bivia	species	556		0.121	0.121	0.0	0.0	0.761	8.046
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;sanguinis	species	757	Because HMT-626 is not present individually, all equidistant reads were assigned to HMT-757 at this body site (ANA).	0.161	0.161	0.0	0.377	0.419	61.686
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;haemolyticus	species	120		3.161	3.161	0.075	6.34	6.979	96.935
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;defectiva	species	389		0.081	0.081	0.0	0.11	0.444	21.839
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum;pigrum	species	813		2.952	2.952	0.0	10.686	6.633	40.613
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;adiacens	species	534		0.161	0.161	0.0	0.343	0.498	49.808
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;elegans	species	596		0.046	0.046	0.0	0.096	0.178	26.82
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;durans	species	880		0.126	0.126	0.0	0.126	0.806	26.82
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;iners	species	838		0.077	0.077	0.0	0.126	0.309	21.073
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;jensenii	species	839		0.098	0.098	0.0	0.014	1.099	11.111
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;lactis	species	804		0.058	0.058	0.0	0.093	0.389	20.69
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sanguinis	species	758		0.25	0.25	0.0	0.541	0.766	54.406
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9];bacterium HMT-924	species	924		0.038	0.038	0.0	0.0	0.566	2.299
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Shuttleworthia;satelles	species	095		0.043	0.043	0.0	0.037	0.278	16.092
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella;multacida	species	684		0.024	0.024	0.0	0.048	0.173	14.176
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;invisus	species	118		0.245	0.245	0.0	0.417	1.1	36.782
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;rogosae	species	158		0.177	0.177	0.0	0.495	0.492	53.257
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;sp. HMT-780	species	780		0.051	0.051	0.0	0.087	0.214	21.456
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;octavius	species	017		1.099	1.099	0.0	3.148	1.574	73.18
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;sp. HMT-290	species	290		0.888	0.888	0.0	2.684	1.939	68.966
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia;magna	species	662		0.756	0.756	0.0	2.341	1.201	65.517
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus;harei	species	109		0.06	0.06	0.0	0.028	0.423	13.41
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus;sp. HMT-187	species	187		2.081	2.081	0.0	6.92	3.074	68.199
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;periodonticum	species	201		0.241	0.241	0.0	0.603	0.665	65.9
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;sp. HMT-002	species	002		0.053	0.053	0.0	0.057	0.433	16.092
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;elkanii	species	597		0.049	0.049	0.0	0.056	0.327	18.391
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodobacter;capsulatus	species	857		0.002	0.002	0.0	0.0	0.024	1.533
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;sp. HMT-004	species	004		0.124	0.124	0.0	0.192	0.651	29.885
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;mirabilis	species	022		0.064	0.064	0.0	0.14	0.22	22.222
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;sp. HMT-406	species	406		0.123	0.123	0.0	0.179	1.023	33.716
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;oralis	species	706		0.035	0.035	0.0	0.085	0.165	23.372
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;meningitidis	species	669		0.125	0.125	0.0	0.0	1.979	1.533
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae [G1];bacterium HMT-174	species	174		1.669	1.669	0.0	2.511	6.406	26.437
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae [G1];bacterium HMT-327	species	327		0.488	0.488	0.0	0.889	1.967	21.456
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;ureolyticus	species	842		0.164	0.164	0.0	0.2	0.873	14.176
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter;sakazakii	species	753		0.197	0.197	0.0	0.059	1.364	21.073
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;hormaechei	species	634		0.061	0.061	0.0	0.029	0.401	11.494
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;aerogenes	species	153	Because HMT-565 is not present individually, all equidistant reads were assigned to HMT-153 at this body site (ANA).	0.603	0.603	0.0	1.451	2.082	37.165
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;pneumoniae	species	731		0.335	0.335	0.0	0.137	2.521	22.989
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;mirabilis	species	676		0.021	0.021	0.0	0.0	0.151	2.299
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;parahaemolyticus	species	945		0.033	0.033	0.0	0.049	0.161	15.709
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;parainfluenzae	species	718		0.583	0.583	0.0	1.488	1.343	73.18
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;junii	species	282		0.26	0.26	0.0	0.272	2.142	45.211
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;catarrhalis	species	833	Reads equidistant to HMT-098 and HMT-833 were assigned to each taxon in proportion to the abundance of HMT-098 and HMT-833 individually at this body site (ANA).	1.884	1.884	0.0	0.91	7.884	17.241
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;lincolnii	species	154		0.29	0.29	0.0	0.0	2.345	2.682
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;nonliquefaciens	species	098	Reads equidistant to HMT-098 and HMT-833 were assigned to each taxon in proportion to the abundance of HMT-098 and HMT-833 individually at this body site (ANA).	1.297	1.297	0.0	0.643	5.909	16.858
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Stutzerimonas;stutzeri	species	477		0.374	0.374	0.0	0.033	5.679	16.092
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-175	species	175	Neither HMT-175 nor HMT-688 were present singularly so these reads were split evenly at this site (ANA).	0.06	0.06	0.0	0.107	0.246	46.743
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;viscosus	species	688	Neither HMT-175 nor HMT-688 were present singularly so these reads were split evenly at this site (ANA).	0.06	0.06	0.0	0.107	0.246	46.743
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;haemolysans	species	626		0.14	0.14	0.0	0.348	0.402	60.536
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;acidophilus	species	529	Neither HMT-529 nor HMT-817 were present singularly so these reads were split evenly at this site (ANA).	0.23	0.23	0.0	0.096	2.405	29.885
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;crispatus	species	817	Neither HMT-529 nor HMT-817 were present singularly so these reads were split evenly at this site (ANA).	0.23	0.23	0.0	0.096	2.405	29.885
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;dispar	species	160	Neither HMT-160 nor HMT-161 were present singularly so these reads were split evenly at this site (ANA).	0.081	0.081	0.0	0.215	0.201	54.023
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;parvula	species	161	Neither HMT-160 nor HMT-161 were present singularly so these reads were split evenly at this site (ANA).	0.081	0.081	0.0	0.215	0.201	54.023
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;subflava	species	476	Neither HMT-476 nor HMT-610 were present singularly so these reads were split evenly at this site (ANA).;Some of the reads equidistant from these taxa (101-476-682) are included in HMT-476 because they are too close to differentiate at this site (ANA).	0.033	0.033	0.0	0.069	0.136	30.651
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;flavescens	species	610	Neither HMT-476 nor HMT-610 were present singularly so these reads were split evenly at this site (ANA).	0.033	0.033	0.0	0.069	0.136	30.651
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter;aerosaccus	species	196	Neither HMT-196 nor HMT-711 were present singularly so these reads were split evenly at this site (ANA).	0.019	0.019	0.0	0.023	0.106	16.475
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;osloensis	species	711	Neither HMT-196 nor HMT-711 were present singularly so these reads were split evenly at this site (ANA).	0.019	0.019	0.0	0.023	0.106	16.475
UNMATCHED				2.975	2.975	0.073	5.538	8.151	96.169
