Taxonomy	Rank	HMT	Notes	Max	MVA-mean	MVA-10p	MVA-90p	MVA-sd	MVA-prev
Bacteria	domain			97.357	97.357	93.468	100.0	5.799	100.0
Bacteria;Actinomycetota	phylum			6.015	6.015	0.0	20.282	15.653	83.607
Bacteria;Bacteroidota	phylum			0.38	0.38	0.0	0.316	2.3	35.519
Bacteria;Bacillota	phylum			89.538	89.538	65.704	99.951	21.724	100.0
Bacteria;Fusobacteriota	phylum			0.669	0.669	0.0	0.0	4.0	7.104
Bacteria;Pseudomonadota	phylum			0.671	0.671	0.0	0.609	4.077	47.541
Bacteria;Synergistota	phylum			0.07	0.07	0.0	0.0	0.87	3.825
Bacteria;Mycoplasmatota	phylum			0.013	0.013	0.0	0.0	0.136	3.825
Bacteria;Actinomycetota;Actinomycetes	klass			4.714	4.714	0.0	11.962	13.677	83.607
Bacteria;Actinomycetota;Coriobacteriia	klass			1.301	1.301	0.0	0.636	5.033	15.301
Bacteria;Bacteroidota;Bacteroidia	klass			0.38	0.38	0.0	0.316	2.3	35.519
Bacteria;Bacillota;Bacilli	klass			86.972	86.972	45.194	99.932	26.351	99.454
Bacteria;Bacillota;Clostridia	klass			2.009	2.009	0.0	1.142	9.723	73.224
Bacteria;Bacillota;Negativicutes	klass			0.557	0.557	0.0	0.034	1.998	13.115
Bacteria;Fusobacteriota;Fusobacteriia	klass			0.669	0.669	0.0	0.0	4.0	7.104
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			0.019	0.019	0.0	0.023	0.135	19.126
Bacteria;Pseudomonadota;Betaproteobacteria	klass			0.468	0.468	0.0	0.166	3.505	25.683
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			0.019	0.019	0.0	0.021	0.094	15.301
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			0.164	0.164	0.0	0.167	0.78	24.59
Bacteria;Synergistota;Synergistia	klass			0.07	0.07	0.0	0.0	0.87	3.825
Bacteria;Mycoplasmatota;Mollicutes	klass			0.013	0.013	0.0	0.0	0.136	3.825
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales	order			3.972	3.972	0.0	10.659	12.183	41.53
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			0.233	0.233	0.0	0.531	0.712	58.47
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			0.509	0.509	0.0	0.066	6.424	39.344
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			1.301	1.301	0.0	0.636	5.033	15.301
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			0.38	0.38	0.0	0.316	2.3	35.519
Bacteria;Bacillota;Bacilli;Lactobacillales	order			86.937	86.937	45.194	99.913	26.368	99.454
Bacteria;Bacillota;Clostridia;Eubacteriales	order			2.009	2.009	0.0	1.142	9.723	73.224
Bacteria;Bacillota;Negativicutes;Selenomonadales	order			0.004	0.004	0.0	0.0	0.033	3.825
Bacteria;Bacillota;Negativicutes;Veillonellales	order			0.553	0.553	0.0	0.0	1.999	9.29
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			0.669	0.669	0.0	0.0	4.0	7.104
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order			0.019	0.019	0.0	0.023	0.135	19.126
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			0.468	0.468	0.0	0.166	3.505	25.683
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			0.019	0.019	0.0	0.021	0.094	15.301
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales	order			0.005	0.005	0.0	0.0	0.04	4.918
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales	order			0.159	0.159	0.0	0.107	0.78	20.765
Bacteria;Synergistota;Synergistia;Synergistales	order			0.07	0.07	0.0	0.0	0.87	3.825
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales	order			0.013	0.013	0.0	0.0	0.136	3.825
Bacteria;Bacillota;Bacilli;Caryophanales	order			0.034	0.034	0.0	0.025	0.207	19.672
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae	family			3.972	3.972	0.0	10.659	12.183	41.53
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			0.086	0.086	0.0	0.166	0.404	35.519
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae	family			0.011	0.011	0.0	0.014	0.057	14.208
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae	family			0.135	0.135	0.0	0.214	0.592	30.055
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family			0.509	0.509	0.0	0.066	6.424	39.344
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			1.301	1.301	0.0	0.636	5.033	15.301
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			0.38	0.38	0.0	0.316	2.3	35.519
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family			86.877	86.877	45.194	99.899	26.363	99.454
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			0.061	0.061	0.0	0.0	0.524	7.104
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			1.263	1.263	0.0	0.066	7.884	16.94
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.036	0.036	0.0	0.025	0.218	15.847
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae	family			0.004	0.004	0.0	0.0	0.033	3.825
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			0.553	0.553	0.0	0.0	1.999	9.29
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family			0.711	0.711	0.0	0.836	5.701	71.585
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			0.669	0.669	0.0	0.0	4.0	7.104
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family			0.019	0.019	0.0	0.023	0.135	19.126
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae	family			0.083	0.083	0.0	0.027	0.559	14.754
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			0.386	0.386	0.0	0.109	3.074	18.579
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			0.019	0.019	0.0	0.021	0.094	15.301
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae	family			0.005	0.005	0.0	0.0	0.04	4.918
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae	family			0.159	0.159	0.0	0.107	0.78	20.765
Bacteria;Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae	family			0.07	0.07	0.0	0.0	0.87	3.825
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae	family			0.013	0.013	0.0	0.0	0.136	3.825
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family			0.034	0.034	0.0	0.025	0.207	19.672
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	genus			0.627	0.627	0.0	0.0	7.209	9.836
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Gardnerella	genus			3.346	3.346	0.0	9.061	9.696	35.519
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus			0.086	0.086	0.0	0.166	0.404	35.519
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella	genus			0.011	0.011	0.0	0.014	0.057	14.208
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium	genus			0.135	0.135	0.0	0.214	0.592	30.055
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus			0.509	0.509	0.0	0.066	6.424	39.344
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Fannyhessea	genus			1.301	1.301	0.0	0.636	5.033	15.301
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus			0.38	0.38	0.0	0.316	2.3	35.519
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus			86.383	86.383	43.975	99.79	26.311	99.454
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	genus			0.494	0.494	0.0	1.29	0.861	63.934
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			0.061	0.061	0.0	0.0	0.524	7.104
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G7]	genus			0.038	0.038	0.0	0.027	0.238	14.754
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9]	genus			1.224	1.224	0.0	0.0	7.885	2.732
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus	genus			0.036	0.036	0.0	0.025	0.218	15.847
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella	genus			0.004	0.004	0.0	0.0	0.033	3.825
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	genus			0.553	0.553	0.0	0.0	1.999	9.29
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus	genus			0.317	0.317	0.0	0.017	4.205	12.022
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia	genus			0.158	0.158	0.0	0.348	0.459	62.295
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Parvimonas	genus			0.07	0.07	0.0	0.0	0.456	6.011
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus	genus			0.167	0.167	0.0	0.115	1.478	42.077
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia	genus			0.669	0.669	0.0	0.0	4.0	7.104
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	genus			0.019	0.019	0.0	0.023	0.135	19.126
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter	genus			0.083	0.083	0.0	0.027	0.559	14.754
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia	genus			0.386	0.386	0.0	0.109	3.074	18.579
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus			0.019	0.019	0.0	0.021	0.094	15.301
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia	genus			0.005	0.005	0.0	0.0	0.04	4.918
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	genus			0.159	0.159	0.0	0.107	0.78	20.765
Bacteria;Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae;Jonquetella	genus			0.07	0.07	0.0	0.0	0.87	3.825
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma	genus			0.013	0.013	0.0	0.0	0.136	3.825
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella	genus			0.034	0.034	0.0	0.025	0.207	19.672
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;breve	species	889		0.627	0.627	0.0	0.0	7.209	9.836
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;vaginalis	species	829		3.346	3.346	0.0	9.061	9.696	35.519
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;pilbarense	species	054		0.032	0.032	0.0	0.017	0.275	12.022
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;tuberculostearicum	species	077		0.054	0.054	0.0	0.087	0.186	30.601
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella;clevelandensis	species	173		0.011	0.011	0.0	0.014	0.057	14.208
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium;neoaurum	species	692		0.135	0.135	0.0	0.214	0.592	30.055
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes	species	530		0.509	0.509	0.0	0.066	6.424	39.344
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Fannyhessea;vaginae	species	814		1.301	1.301	0.0	0.636	5.033	15.301
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;bivia	species	556		0.228	0.228	0.0	0.285	1.048	34.973
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;denticola	species	291		0.153	0.153	0.0	0.0	2.064	0.546
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;crispatus	species	817	Because HMT-529 is not present individually, all equidistant reads were assigned to HMT-817 at this body site (MVA).	50.249	50.249	0.0	99.14	45.379	68.852
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;iners	species	838		19.717	19.717	0.0	79.52	32.251	65.027
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;jensenii	species	839		9.426	9.426	0.0	28.168	22.484	75.41
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;coleohominis	species	816		0.047	0.047	0.0	0.148	0.156	15.847
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;vaginalis	species	051		0.07	0.07	0.0	0.153	0.318	21.311
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;agalactiae	species	537		0.061	0.061	0.0	0.0	0.524	7.104
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G7];bacterium HMT-086	species	086		0.038	0.038	0.0	0.027	0.238	14.754
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9];bacterium HMT-924	species	924		1.224	1.224	0.0	0.0	7.885	2.732
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus;anaerobius	species	542		0.036	0.036	0.0	0.025	0.218	15.847
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella;multacida	species	684		0.004	0.004	0.0	0.0	0.033	3.825
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;sp. HMT-841	species	841		0.553	0.553	0.0	0.0	1.999	9.29
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;octavius	species	017		0.205	0.205	0.0	0.0	2.713	7.65
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;sp. HMT-295	species	295		0.111	0.111	0.0	0.0	1.492	6.011
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia;magna	species	662		0.158	0.158	0.0	0.348	0.459	62.295
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Parvimonas;micra	species	111		0.07	0.07	0.0	0.0	0.456	6.011
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus;harei	species	109		0.048	0.048	0.0	0.097	0.167	35.519
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus;sp. HMT-187	species	187		0.119	0.119	0.0	0.019	1.471	19.126
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;sanguinegens	species	837		0.15	0.15	0.0	0.0	1.286	4.372
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;vaginalis	species	844		0.519	0.519	0.0	0.0	3.439	7.104
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;sp. HMT-004	species	004		0.019	0.019	0.0	0.023	0.135	19.126
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;xylosoxidans	species	343		0.083	0.083	0.0	0.027	0.559	14.754
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;cepacia	species	571		0.386	0.386	0.0	0.109	3.074	18.579
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;ureolyticus	species	842		0.019	0.019	0.0	0.021	0.094	15.301
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;pestis	species	827		0.005	0.005	0.0	0.0	0.04	4.918
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas;maltophilia	species	663		0.159	0.159	0.0	0.107	0.78	20.765
Bacteria;Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae;Jonquetella;anthropi	species	777		0.07	0.07	0.0	0.0	0.87	3.825
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma;hominis	species	632		0.013	0.013	0.0	0.0	0.136	3.825
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;haemolysans	species	626	Neither HMT-626 nor HMT-757 were present singularly so these reads were split evenly at this site (MVA).	0.017	0.017	0.0	0.013	0.104	19.672
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;sanguinis	species	757	Neither HMT-626 nor HMT-757 were present singularly so these reads were split evenly at this site (MVA).	0.017	0.017	0.0	0.013	0.104	19.672
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;gasseri	species	615	Neither HMT-615 nor HMT-819 were present singularly so these reads were split evenly at this site (MVA).	3.495	3.495	0.0	4.504	10.893	47.541
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;johnsonii	species	819	Neither HMT-615 nor HMT-819 were present singularly so these reads were split evenly at this site (MVA).	3.495	3.495	0.0	4.504	10.893	47.541
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;reuteri;clade-938	subspecies	938	Because HMT-818 is not present individually, all equidistant reads were assigned to HMT-938 at this body site (MVA).	0.377	0.377	0.0	1.044	0.749	57.923
UNMATCHED				2.643	2.643	0.0	6.532	5.799	84.153
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;reuteri	species		combined from subspecies	0.377	0.377	0.0	1.044	0.749	57.923
