HMT	Domain-old	Phylum-old	Class-old	Order-old	Family-old	Genus-old	Species-old	Domain-new	Phylum-new	Class-new	Order-new	Family-new	Genus-new	Species-new
001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella	schoenbuchensis	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bartonellaceae	Bartonella	schoenbuchensis
003	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	echinoides	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	glacialis
006	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	sp._HMT_006	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	humi
007	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Porphyrobacter	tepidarius	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	tepidarius
008	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae_[XI]	Mogibacterium	vescum	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Mogibacterium	vescum
017	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Anaerococcus	octavius	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	octavius
019	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	accolens	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	accolens
028	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Rhodocyclus	sp._HMT_028	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Oryzomicrobium	terrae
029	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	vincentii	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	vincentii
030	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	afermentans	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	afermentans
031	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	amycolatum	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	amycolatum
033	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	appendicis	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	appendicis
034	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	aurimucosum	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	aurimucosum
042	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae_[XI]	Mogibacterium	timidum	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Mogibacterium	timidum
045	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	clausii	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus	clausii
047	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	jeikeium	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	jeikeium
048	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	sp._HMT_048	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	typhae
049	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	kroppenstedtii	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	kroppenstedtii
050	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	macginleyi	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	macginleyi
051	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	vaginalis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	vaginalis
052	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	sp._HMT_052	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	sp._HMT_052
053	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	minutissimum	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	minutissimum
054	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	pilbarense	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	pilbarense
059	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	propinquum	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	propinquum
060	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	pseudodiphtheriticum	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	pseudodiphtheriticum
062	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	simulans	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	simulans
063	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	singulare	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	singulare
072	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	striatum	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	striatum
075	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_[G-1]	bacterium_HMT_075	Bacteria	Firmicutes	Clostridia	Eubacteriales	Ruminococcaceae	Ruminococcaceae_[G-1]	bacterium_HMT_075
077	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	tuberculostearicum	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	tuberculostearicum
078	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Oribacterium	sp._HMT_078	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Oribacterium	sp._HMT_078
080	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Butyrivibrio	sp._HMT_080	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Butyrivibrio	sp._HMT_080
081	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae_[XI]	Peptostreptococcaceae_[XI][G-7]	bacterium_HMT_081	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcaceae_[G-7]	bacterium_HMT_081
082	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Lachnoanaerobaculum	orale	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoanaerobaculum	orale
083	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Lachnoanaerobaculum	sp._HMT_083	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoanaerobaculum	sp._HMT_083
084	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria	palustris	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Kocuria	palustris
085	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_[G-2]	bacterium_HMT_085	Bacteria	Firmicutes	Clostridia	Eubacteriales	Ruminococcaceae	Ruminococcaceae_[G-2]	bacterium_HMT_085
086	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Lachnospiraceae_[G-7]	bacterium_HMT_086	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_[G-7]	bacterium_HMT_086
087	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Micrococcus	luteus	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Micrococcus	luteus
088	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Lachnospiraceae_[G-2]	bacterium_HMT_088	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_[G-2]	bacterium_HMT_088
089	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Lachnoanaerobaculum	sp._HMT_089	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoanaerobaculum	sp._HMT_089
090	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Butyrivibrio	sp._HMT_090	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Butyrivibrio	sp._HMT_090
091	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae_[XI]	Peptostreptococcaceae_[XI][G-2]	bacterium_HMT_091	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcaceae_[G-2]	bacterium_HMT_091
093	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_[F-1]	Clostridiales_[F-1][G-1]	bacterium_HMT_093	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiales_[F-1]	Clostridiales_[F-1][G-1]	bacterium_HMT_093
094	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Lachnospiraceae_[G-10]	bacterium_HMT_094	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_[G-10]	bacterium_HMT_094
095	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Shuttleworthia	satelles	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Shuttleworthia	satelles
096	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Lachnospiraceae_[G-2]	bacterium_HMT_096	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_[G-2]	bacterium_HMT_096
097	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Stomatobaculum	sp._HMT_097	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Stomatobaculum	sp._HMT_097
100	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Lachnospiraceae_[G-3]	bacterium_HMT_100	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_[G-3]	bacterium_HMT_100
102	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Oribacterium	sp._HMT_102	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Oribacterium	sp._HMT_102
103	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae_[XI]	Peptostreptococcaceae_[XI][G-4]	bacterium_HMT_103	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcaceae_[G-4]	bacterium_HMT_103
105	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae_[XI]	Peptostreptococcaceae_[XI][G-1]	[Eubacterium]_infirmum	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcaceae_[G-1]	[Eubacterium]_infirmum
106	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae_[XI]	Peptostreptococcaceae_[XI][G-7]	[Eubacterium]_yurii_subsp._schtitka	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcaceae_[G-7]	[Eubacterium]_yurii_subsp._schtitka
107	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Lachnoanaerobaculum	umeaense	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoanaerobaculum	umeaense
108	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Oribacterium	asaccharolyticum	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Oribacterium	asaccharolyticum
109	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Peptoniphilus	harei	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	harei
110	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Parvimonas	sp._HMT_110	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	sp._HMT_110
111	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Parvimonas	micra	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	micra
112	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae_[XI]	Peptostreptococcus	stomatis	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcus	stomatis
113	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Peptoniphilaceae_[G-1]	bacterium_HMT_113	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilaceae_[G-1]	bacterium_HMT_113
114	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	granulosum	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	granulosum
123	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	sp._HMT_123	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Colibacter	massiliensis
129	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonellaceae_[G-1]	bacterium_HMT_129	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Veillonellaceae_[G-1]	bacterium_HMT_129
132	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonellaceae_[G-1]	bacterium_HMT_132	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Veillonellaceae_[G-1]	bacterium_HMT_132
135	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonellaceae_[G-1]	bacterium_HMT_135	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Veillonellaceae_[G-1]	bacterium_HMT_135
145	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonellaceae_[G-1]	bacterium_HMT_145	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Veillonellaceae_[G-1]	bacterium_HMT_145
148	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonellaceae_[G-1]	bacterium_HMT_148	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Veillonellaceae_[G-1]	bacterium_HMT_148
150	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonellaceae_[G-1]	bacterium_HMT_150	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Veillonellaceae_[G-1]	bacterium_HMT_150
155	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonellaceae_[G-1]	bacterium_HMT_155	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Veillonellaceae_[G-1]	bacterium_HMT_155
163	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Lachnospiraceae_[G-7]	bacterium_HMT_163	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_[G-7]	bacterium_HMT_163
164	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Catonella	sp._HMT_164	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Catonella	sp._HMT_164
165	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Catonella	morbi	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Catonella	morbi
166	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Johnsonella	sp._HMT_166	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Johnsonella	sp._HMT_166
167	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Peptococcus	sp._HMT_167	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptococcaceae	Peptococcus	sp._HMT_167
168	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Peptococcus	sp._HMT_168	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptococcaceae	Peptococcus	sp._HMT_168
169	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	sp._HMT_169	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	sp._HMT_169
170	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	sp._HMT_170	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	sp._HMT_170
171	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	sp._HMT_171	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	sp._HMT_171
172	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	sp._HMT_172	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Schaalia	sp._HMT_172
173	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriales_[F-1]	Lawsonella	clevelandensis	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Lawsonellaceae	Lawsonella	clevelandensis
175	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	sp._HMT_175	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	sp._HMT_175
176	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	naeslundii	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	naeslundii
178	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	sp._HMT_178	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Schaalia	sp._HMT_178
179	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	timonensis	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	timonensis
180	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	sp._HMT_180	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Schaalia	sp._HMT_180
181	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	lingnae_[Not_Validly_Published]	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Schaalia	lingnae
183	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Peptidiphaga	sp._HMT_183	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Peptidiphaga	sp._HMT_183
184	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	tuscaniense	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	tuscaniense
185	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	ginsengisoli	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	ginsengisoli
186	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	flavescens	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	flavescens
187	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Peptoniphilus	sp._HMT_187	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	sp._HMT_187
188	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	aeria	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia	aeria
189	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria	sp._HMT_189	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Kocuria	atrinae
190	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Arsenicicoccus	bolidensis	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Intrasporangiaceae	Arsenicicoccus	bolidensis
191	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	acidifaciens	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Propionibacterium	acidifaciens
192	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacteriaceae_[G-2]	bacterium_HMT_192	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Propionibacteriaceae_[G-2]	bacterium_HMT_192
193	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	sp._HMT_193	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	sp._HMT_193
194	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Arachnia	rubra	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Arachnia	rubra
195	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Scardovia	wiggsiae	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Scardovia	wiggsiae
197	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria	rhizophila	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Kocuria	rhizophila
198	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia	omnicolens	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia	omnicolens
199	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Atopobium	sp._HMT_199	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Lancefieldella	sp._HMT_199
206	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bergeyella	sp._HMT_206	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Cloacibacterium	sp._HMT_206
207	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	sp._HMT_207	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	gottingense
208	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	bovis	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	bovis
209	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Commamonadaceae	Acidovorax	ebreus	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	ebreus
211	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Commamonadaceae	Acidovorax	caeni	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	caeni
216	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Commamonadaceae	Acidovorax	temperans	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	temperans
219	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	sp._HMT_219	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Pseudoleptotrichia	sp._HMT_219
221	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	sp._HMT_221	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Pseudoleptotrichia	sp._HMT_221
